,Unnamed: 0,Unnamed: 0.1,CASE_NO,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,Job_Info_Work_City,Job_Info_Work_State,Country_of_Citizenship,Class_of_Admission,Annual_Wage,Certified
0,7,8,A-13213-84844,2014/3/13 00:00:00,Certified-Expired,ONLINE,WAHA MONTESSORI SCHOOL,220 BLAKE AVE,,SANTA CLARA,CALIFORNIA,95051,611110,Elementary and Secondary Schools,Educational Services,25-2012,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",Level II,OES,49543.0,Year,49543.0,,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,49543.0,1
1,24,29,A-13225-88049,2014/4/21 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
2,54,65,A-13202-81735,2014/4/15 00:00:00,Certified,ONLINE,KRYPT INC,3945 FREEDOM CIRCLE,STE 550,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1142,Network and Computer Systems Administrators*,Network and Computer Systems Administrators*,Level IV,OES,111904.0,Year,115000.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,111904.0,1
3,55,66,A-13191-79048,2014/4/29 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
4,110,135,A-12013-31026,2013/10/22 00:00:00,Certified-Expired,ONLINE,INNOVATE SOLUTIONS INC,2900 GORDON AVE,STE 100-77,SANTA CLARA,CALIFORNIA,95051,541512,Computer Systems Design Services,IT,15-1141,Database Administrators,Database Administrators,Level II,OES,79706.0,Year,79706.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,79706.0,1
9,265,339,A-13018-32353,2013/12/6 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,,Other,108043.0,Year,141850.44,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,108043.0,1
10,353,450,A-12310-12523,2014/2/18 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2141,Mechanical Engineers,Mechanical Engineers,,Other,80094.0,Year,85000.0,98400.0,Year,Sunnyvale,CALIFORNIA,TURKEY,H-1B,80094.0,1
11,399,517,A-13081-50184,2014/1/15 00:00:00,Certified-Expired,ONLINE,MCAFEE INC.,2821 MISSION COLLEGE BLVD,,SANTA CLARA,CALIFORNIA,95054,5415,Computer Systems Design and Related Services,IT,41-9031,Sales Engineers,Sales Engineers,,Other,109844.0,Year,109844.0,124844.0,Year,Santa Clara,CALIFORNIA,NETHERLANDS,H-1B,109844.0,1
13,494,634,A-13094-53096,2014/1/7 00:00:00,Certified-Expired,ONLINE,KNO INC.,5155 OLD IRONSIDES DRIVE,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level II,OES,100984.0,Year,100984.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,100984.0,1
15,631,804,A-13053-42703,2013/12/4 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,91631.0,Year,91686.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,91631.0,1
18,658,837,A-13094-52847,2014/2/18 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,139838.0,Year,150000.0,,Year,Santa Clara,CALIFORNIA,ISRAEL,H-1B,139838.0,1
21,785,993,A-13033-37153,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
22,798,1009,A-13053-42598,2013/10/24 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,102963.0,Year,102963.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102963.0,1
23,881,1108,A-13057-43434,2013/10/24 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1132,"Software Developers, Applications","Software Developers, Applications",,Other,92611.0,Year,92611.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,92611.0,1
25,915,1149,A-13023-33747,2013/11/1 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,93630.0,Year,95000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,93630.0,1
